LinkML Class Name	LinkML Slot	Attribute Name	from_schema	Data Type	Definition	Nullable	Permissible Values	AIT Location	Notes
CellTypeTaxonomy		filter		boolean	Per-mode boolean flags indicating cells to exclude (True means exclude).	TRUE		uns.filter	Multivalued; computed for analysis; Jeremy: folks can ignore
CellTypeTaxonomy		cluster_algorithm		string	Full description of clustering algorithm and parameters used to produce cluster assignments.	TRUE		uns.cluster_algorithm	Stored as dict
CellTypeTaxonomy		cluster_info		string	Summary table of cluster-level metadata including cluster sizes and representative metadata.	TRUE		uns.cluster_info	Stored as dict; Jeremy: effectively the obs table saved per cluster; what people call the "Google Sheet" of cell type annotations
CellTypeTaxonomy		default_embedding		string	Key in obsm of the embedding to display by default; must match an X_-prefixed entry.	TRUE		uns.default_embedding	String key matching Embedding.embedding_key of the default embedding to display
CellTypeTaxonomy		cellannotation_schema		string	CAS annotation schema stored as JSON encoding labelset and annotation metadata.	TRUE		uns.cellannotation_schema	Jeremy: placeholder; currently redundant with cluster_info; no BKE equivalent
CellTypeTaxonomy		quality_control_markers		string	Marker gene expression data for patchseq quality control analysis.	TRUE		uns.quality_control_markers	Computed; should never be manually entered; AIT csv has typo (qualty_control_markers); no BKE equivalent
Embedding	id		bican_biolink	string	Unique identifier for this embedding.	FALSE		—	
Embedding		embedding_key		string	Key used to store the embedding in obsm; must be prefixed with X_ (e.g. X_umap, X_pca).	FALSE		obsm (key)	
Embedding		embedding_matrix		float	N-dimensional matrix of shape n_cells × n_dims representing the low-dimensional projection.	FALSE		obsm[embedding_key]	
ExpressionMatrix	id		bican_biolink	string	Unique identifier for this expression matrix.	FALSE		—	
ExpressionMatrix		matrix_type		ExpressionMatrixType	Whether this matrix contains normalized expression values or raw counts.	FALSE	normalized, raw_count	X / raw.X	
ExpressionMatrix	content_url		bican_core	uri	URL to the matrix file if the matrix is not embedded directly in the h5ad file.	TRUE		uns.dataset_purl	Corresponds to AIT dataset_purl; BKE ExpressionMatrix.content_url
ClusterSet	id		bican_biolink	string	Unique identifier for this cluster set.	FALSE		uns	
ClusterSet	name		bican_biolink	string	Human-readable name for this cluster set (e.g. the name of the clustering run).	TRUE		uns	
Cluster	id		bican_biolink	string	Unique identifier for this cluster.	FALSE		obs / cluster_info	
Cluster	name		bican_biolink	string	Human-readable label for this cluster; corresponds to cluster_id values in obs.	FALSE		obs / cluster_info	
Cluster		number_of_observations		integer	Number of cells assigned to this cluster.	FALSE		cluster_info.n_cells	
