Class	Predicate (General)	Predicate (Specific)	Subject	from_schema	Multivalued	Slot Definition	ExactlyOneOf	Quasi-formalism	BKE Local Name	Local Name Source
ColorPalette		is_palette_for	CellTypeTaxonomy		FALSE	The cell types taxonomy for which the palette provides display color properties for.	TRUE	CP is_palette_for some CTT		
DisplayColor		part_of_palette	ColorPalette		FALSE	The color palette for which the display color map is part of.	TRUE	DC part_of_palette CP if and only if DC is part_of CP		
DisplayColor		is_color_for_taxon	CellTypeTaxon		FALSE	The associated cell type taxon for the specified display color.	TRUE	DC is_color_for CTT if DC is associated with CTT	is_color_for	allen
DisplayColor		is_color_for_set	CellTypeSet		FALSE	The associated cell type set of the specified display color.	TRUE	DC is_color_for CTS if DC is associated with CTS	is_color_for	allen
ObservationMatrix	was_generated_by		ObservationMatrixCreationProcess	bican_prov	FALSE	The aggregation process from which a observation matrix was generated by.	TRUE	OM was_generated_by some OMCP if and only if OMCP is a process and OM was_output_of OMCP		
ObservationMatrix		represented_by	MatrixFile		TRUE	One of potentially matrix files which together represents the entire observation matrix.	FALSE	MF concretizes some OM		
ObservationMatrix		has_variable	GeneAnnotation		TRUE	One of set of genes which together forms the variable set of an observation matrix.	FALSE			
ObservationMatrix	was_derived_from		CellSpecimen	bican_prov	TRUE	One of many cell specimens from which observations in the matrix was derived from.	FALSE	OM was_derived_from some CSp if and only if OM has_input some CSp		
ObservationRow		part_of_matrix	ObservationMatrix		FALSE	The observation matrix for which is observation row is part of.	TRUE	OR part_of_matrix some OM if and only if OR part_of some OM		
ObservationRow		represented_in	MatrixFile		FALSE	The specific file where this observation row is represented.	TRUE	OR represented in MF if and only if OR is part_of some OM and OM is_concretized_in some MF		
ObservationRow	was_derived_from		CellSpecimen	bican_prov	FALSE	The cell specimen from which the observation was derived from.	FALSE	OR was_derived_from some CSp if and only if OR has_input some CSp		
